Category: All categories

DMA,fluffernutter: (1/1/04 - 6/10/25),peanut butter and jelly: (1/1/04 - 6/10/25),liberty sandwich: (1/1/04 - 6/10/25)
Portland-Auburn ME,28%,71%,1%
Bangor ME,24%,76%,
Presque Isle ME,22%,78%,
Springfield-Holyoke MA,21%,79%,
Boston MA-Manchester NH,23%,73%,4%
Zanesville OH,14%,86%,
Juneau AK,21%,79%,
Johnstown-Altoona PA,17%,83%,
Victoria TX,19%,81%,
Elmira NY,16%,84%,
Clarksburg-Weston WV,16%,84%,
San Angelo TX,16%,84%,
Providence RI-New Bedford MA,18%,80%,2%
Casper-Riverton WY,22%,78%,
Youngstown OH,13%,85%,2%
Jackson TN,17%,83%,
Eugene OR,19%,81%,
Grand Junction-Montrose CO,20%,80%,
Harrisburg-Lancaster-Lebanon-York PA,15%,84%,1%
Burlington VT-Plattsburgh NY,18%,81%,1%
Terre Haute IN,13%,87%,
Butte-Bozeman MT,20%,80%,
Ft. Wayne IN,14%,85%,1%
Wheeling WV-Steubenville OH,13%,87%,
"Billings, MT",16%,84%,
Wilkes Barre-Scranton PA,14%,86%,<1%
Bluefield-Beckley-Oak Hill WV,14%,86%,
Helena MT,19%,81%,
Peoria-Bloomington IL,13%,87%,
Des Moines-Ames IA,15%,84%,1%
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,13%,87%,
Cheyenne WY-Scottsbluff NE,16%,84%,
Parkersburg WV,14%,86%,
Lafayette IN,12%,88%,
Chico-Redding CA,15%,85%,
Lima OH,10%,90%,
Hartford & New Haven CT,14%,85%,1%
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,13%,81%,6%
Springfield MO,14%,86%,
Tri-Cities TN-VA,14%,86%,
Madison WI,16%,84%,<1%
Medford-Klamath Falls OR,16%,84%,
Binghamton NY,12%,88%,
Omaha NE,14%,85%,1%
Mankato MN,13%,87%,
Tucson (Sierra Vista) AZ,15%,84%,1%
Lincoln & Hastings-Kearney NE,13%,87%,
Sherman TX-Ada OK,14%,86%,
Topeka KS,11%,89%,
Salt Lake City UT,14%,85%,1%
Indianapolis IN,12%,88%,<1%
Rochester MN-Mason City IA-Austin MN,14%,86%,
Anchorage AK,15%,85%,
Flint-Saginaw-Bay City MI,12%,88%,
Rochester NY,13%,86%,1%
Pittsburgh PA,12%,84%,4%
Charleston-Huntington WV,11%,89%,
Duluth MN-Superior WI,14%,86%,
Toledo OH,11%,88%,1%
Boise ID,14%,86%,
Idaho Falls-Pocatello ID,13%,87%,
Davenport IA-Rock Island-Moline IL,12%,86%,2%
Wichita Falls TX & Lawton OK,12%,88%,
Cleveland-Akron (Canton) OH,10%,90%,<1%
Columbus OH,10%,90%,<1%
Syracuse NY,12%,87%,1%
Albany-Schenectady-Troy NY,12%,87%,1%
Buffalo NY,11%,89%,
Rapid City SD,14%,86%,
Seattle-Tacoma WA,16%,83%,1%
Dothan AL,11%,89%,
Sioux Falls(Mitchell) SD,12%,88%,
Lansing MI,12%,88%,
Huntsville-Decatur (Florence) AL,13%,87%,
Traverse City-Cadillac MI,13%,87%,
Wichita-Hutchinson KS,13%,87%,
Spokane WA,13%,79%,8%
La Crosse-Eau Claire WI,14%,86%,
Charlottesville VA,15%,85%,
Watertown NY,11%,89%,
Quincy IL-Hannibal MO-Keokuk IA,10%,90%,
Evansville IN,11%,89%,
Joplin MO-Pittsburg KS,11%,89%,
Minneapolis-St. Paul MN,15%,85%,<1%
Charleston SC,13%,86%,1%
Fargo-Valley City ND,14%,86%,
Portland OR,15%,84%,1%
Dayton OH,11%,88%,1%
Abilene-Sweetwater TX,13%,87%,
Columbia-Jefferson City MO,11%,89%,
St. Joseph MO,11%,89%,
Fairbanks AK,12%,88%,
Beaumont-Port Arthur TX,11%,89%,
Green Bay-Appleton WI,12%,88%,
Tyler-Longview(Lufkin & Nacogdoches) TX,14%,86%,
Denver CO,15%,85%,<1%
Lexington KY,12%,86%,2%
Reno NV,15%,84%,1%
Panama City FL,13%,87%,
Knoxville TN,13%,87%,
Wilmington NC,7%,93%,
Champaign & Springfield-Decatur IL,11%,89%,
Sioux City IA,10%,90%,
Utica NY,9%,91%,
Waco-Temple-Bryan TX,12%,87%,1%
Ft. Smith-Fayetteville-Springdale-Rogers AR,12%,88%,
South Bend-Elkhart IN,10%,90%,
Erie PA,10%,90%,
Grand Rapids-Kalamazoo-Battle Creek MI,12%,88%,<1%
St. Louis MO,12%,88%,<1%
Harrisonburg VA,11%,89%,
Missoula MT,13%,87%,
Baltimore MD,11%,88%,1%
Nashville TN,12%,88%,<1%
Louisville KY,11%,89%,
Wausau-Rhinelander WI,11%,89%,
Oklahoma City OK,13%,87%,<1%
Kansas City MO,10%,79%,11%
Richmond-Petersburg VA,12%,87%,1%
Rockford IL,9%,91%,
Little Rock-Pine Bluff AR,12%,88%,
Raleigh-Durham (Fayetteville) NC,11%,88%,1%
Mobile AL-Pensacola (Ft. Walton Beach) FL,10%,90%,
Greenville-New Bern-Washington NC,10%,90%,
Norfolk-Portsmouth-Newport News VA,10%,90%,<1%
Chattanooga TN,9%,76%,15%
Cincinnati OH,9%,85%,6%
Greenville-Spartanburg SC-Asheville NC-Anderson SC,12%,85%,3%
Austin TX,13%,85%,2%
Eureka CA,13%,87%,
Phoenix AZ,12%,87%,1%
Jacksonville FL,12%,88%,<1%
Milwaukee WI,8%,92%,<1%
Jonesboro AR,9%,91%,
Tampa-St. Petersburg (Sarasota) FL,11%,89%,<1%
Yakima-Pasco-Richland-Kennewick WA,12%,88%,
Bowling Green KY,11%,89%,
Odessa-Midland TX,11%,89%,
Albuquerque-Santa Fe NM,12%,88%,
Biloxi-Gulfport MS,8%,92%,
Savannah GA,10%,89%,1%
Columbia SC,10%,89%,1%
Shreveport LA,11%,89%,
Minot-Bismarck-Dickinson(Williston) ND,12%,88%,
Amarillo TX,11%,86%,3%
Detroit MI,10%,90%,<1%
Greensboro-High Point-Winston Salem NC,11%,87%,2%
Orlando-Daytona Beach-Melbourne FL,11%,88%,1%
Columbus-Tupelo-West Point MS,10%,90%,
Bend OR,15%,85%,
Philadelphia PA,9%,89%,2%
Charlotte NC,10%,89%,1%
Gainesville FL,10%,90%,
Colorado Springs-Pueblo CO,11%,89%,
Florence-Myrtle Beach SC,9%,90%,1%
Lubbock TX,11%,89%,
